文件名,得分
d:\harmonit\con_bine\12_南  玻Ａ_2010.txt,26
d:\harmonit\con_bine\12_南  玻Ａ_2011.txt,26
d:\harmonit\con_bine\12_南  玻Ａ_2012.txt,0
d:\harmonit\con_bine\12_南  玻Ａ_2013.txt,26
d:\harmonit\con_bine\12_南  玻Ａ_2014.txt,31
d:\harmonit\con_bine\12_南  玻Ａ_2015.txt,31
d:\harmonit\con_bine\12_南  玻Ａ_2016.txt,25
d:\harmonit\con_bine\12_南  玻Ａ_2017.txt,44
d:\harmonit\con_bine\12_南  玻Ａ_2018.txt,33
d:\harmonit\con_bine\12_南  玻Ａ_2019.txt,26
d:\harmonit\con_bine\12_南  玻Ａ_2020.txt,32
d:\harmonit\con_bine\12_南  玻Ａ_2021.txt,12
d:\harmonit\con_bine\12_南  玻Ａ_2022.txt,9
d:\harmonit\con_bine\12_南  玻Ａ_2023.txt,16
d:\harmonit\con_bine\27_深圳能源_2010.txt,40
d:\harmonit\con_bine\27_深圳能源_2011.txt,28
d:\harmonit\con_bine\27_深圳能源_2012.txt,28
d:\harmonit\con_bine\27_深圳能源_2013.txt,34
d:\harmonit\con_bine\27_深圳能源_2014.txt,44
d:\harmonit\con_bine\27_深圳能源_2015.txt,40
d:\harmonit\con_bine\27_深圳能源_2016.txt,52
d:\harmonit\con_bine\27_深圳能源_2017.txt,56
d:\harmonit\con_bine\27_深圳能源_2018.txt,2
d:\harmonit\con_bine\27_深圳能源_2019.txt,25
d:\harmonit\con_bine\27_深圳能源_2020.txt,23
d:\harmonit\con_bine\27_深圳能源_2021.txt,7
d:\harmonit\con_bine\27_深圳能源_2022.txt,23
d:\harmonit\con_bine\27_深圳能源_2023.txt,21
