书名,价格,作者
浪潮之巅 第四版,111.20,吴军
Linux网络操作系统项目教程（RHEL 7.4/CentOS 7.4）（第3版）（微课版）,39.84,杨云 林哲
剪映视频剪辑/调色/特效从入门到精通（手机版+电脑版）,63.84,麓山剪辑社
HTML5+CSS3网页设计与制作,47.84,黑马程序员
鸟哥的Linux私房菜 基础学习篇(第三版),70.40,鸟哥 著
和秋叶一起学 秒懂Excel（全彩版）,39.92,秋叶  陈文登
JavaScript高级程序设计(第3版),79.20,[美]Nicholas C. Zakas 著
Java Web程序设计任务教程（第2版）,47.84,黑马程序员
Python编程 从入门到实践 第2版,71.20,[美]埃里克·马瑟斯（Eric Matthes）
算法(第4版),79.20,[美]Robert Sedgewick　Kevin Wayne 著
MySQL数据库基础实例教程（第2版）（微课版）,39.84,周德伟
机器学习实战,55.20,[美]Peter Harrington 著
JavaScript前端开发案例教程,39.84,黑马程序员
中文版Photoshop入门与提高(CS6版),31.20,idea-office 张丹丹 毛志超 编著
Python编程快速上手 让繁琐工作自动化,55.20,[美] Al Sweigart  斯维加特
Java EE企业级应用开发教程（Spring+Spring MVC+MyBatis）（第2版）,47.84,黑马程序员
Word Excel PPT 2013商务办公全能一本通 全彩版,39.84,互联网+计算机教育研究院
和秋叶一起学 秒懂PPT（全彩版）,39.92,秋叶  赵倚南
Python编程 从入门到实践,71.20,[美]埃里克·马瑟斯（Eric Matthes）
数据结构（C语言版）（第2版）,28.00,严蔚敏 李冬梅 吴伟民
数学之美(第二版),39.20,吴军 著
深度学习,134.40,[美]Ian Goodfellow（伊恩·古德费洛）、[加]Yoshua Bengio（约书亚·本吉奥）、[加]Aaron Courville（亚伦·库维尔）
数据结构（C语言版）（第2版）,39.84,严蔚敏 李冬梅 吴伟民
C++ Primer Plus(第6版)中文版,79.20,[美]Stephen Prata 著
Python快速编程入门（第2版）,39.84,黑马程序员
AI时代生存手册：零基础掌握DeepSeek,47.84,秋叶  任泽岩  黄震炜
C Primer Plus 第6版 中文版,86.40,[美]史蒂芬·普拉达（Stephen Prata）
Java基础案例教程（第2版）（本科）,47.84,黑马程序员
计算机操作系统（慕课版）,55.84,汤小丹 王红玲 姜华 汤子瀛
大学计算机基础（微课版）,31.84,刘志成 刘涛
Python编程 从入门到实践 第2版,87.84,[美]埃里克·马瑟斯（Eric Matthes）
鸟哥的Linux私房菜 基础学习篇 第四版,94.40,鸟哥
C++ Primer Plus 第6版 中文版,94.40,[美] 史蒂芬·普拉达（Stephen Prata）
数学之美 第三版,55.20,吴军
Python编程 从入门到实践 第3版,87.84,[美]埃里克·马瑟斯（Eric Matthes）
计算机应用基础（Windows 7+Office 2016）（第2版）,39.84,张敏华 史小英
