标题,评论数量,简介,去过的驴友/%,攻略数量,排名,评分,省份
故宫博物院,31323,世界五大宫之首，是中国明清两代的皇家宫殿。,52%,250,北京景点排名第1,96,北京
圆明园,5228,古老中国最深的一道伤疤，通过断壁残垣寻找当年帝国的辉煌掠影。,32%,104,北京景点排名第8,94,北京
长峪城长城,8,,0%,0,北京景点排名第3326,88,北京
古北水镇,3455,京郊少见的北方水镇，建筑古韵十足，泡温泉、登长城。,1%,46,北京景点排名第1,94,北京
中国国家博物馆,1436,超大的博物馆，四羊方尊、司母戊鼎等众多国宝所在地。,15%,68,北京景点排名第7,94,北京
桃源乡展园（北京世界园艺博览会）,0,重现日本或中国逐渐消失的风景，以及人与人之间和睦相处的美好生活。,0%,0,,0,北京
太平洋海底世界,680,近距离观赏各种美丽的海洋生物和表演，探索神奇梦幻的海底世界。,0%,2,北京景点排名第18,84,北京
大栅栏,726,自古著名的商业街，古老胡同中老字号云集，还有众多特色小吃。,0%,0,,94,北京
雍和宫,1111,乾隆皇帝的出生地，北京知名的藏传佛教寺院，香火极旺。,17%,56,北京景点排名第17,94,北京
北京动物园,2557,规模巨大，珍贵动物种类繁多，亲子游玩的必选去处。,5%,31,北京景点排名第18,90,北京
北京平谷金海湖,346,夏季参加丰富多彩的水上项目，秋天乘船欣赏沿岸漫山遍野的红叶。,0%,11,北京景点排名第190,86,北京
京东大峡谷,188,峡谷内山清水秀空气清新，非常适合放松锻炼，山间滑道也很刺激。,0%,1,北京景点排名第267,88,北京
戒台寺,300,在“天下第一坛”拜佛祈福，观赏形态各异的古松和春夏盛放的牡丹花。,0%,9,北京景点排名第6,96,北京
青龙峡风景区,310,青山绿水、空气清新，还有游船、快艇、蹦极、攀岩等娱乐项目。,0%,5,北京景点排名第121,92,北京
尺木神奇世界,0,,0%,0,,100,北京
藤萝谷,0,,0%,0,,00,北京
通惠国际文化创意大街,0,,0%,0,,100,北京
凤麟洲,5,,0%,0,北京景点排名第1725,96,北京
南宫五洲植物乐园,168,,0%,2,北京景点排名第3057,92,北京
南锣鼓巷,4058,老北京胡同与小资情调结合，文艺青年的必逛之地。,40%,159,北京景点排名第2,92,北京
北京野生动物园,2830,开放式的动物园，坐在铁笼车里近距离给动物喂食，趣味十足。,0%,5,北京景点排名第45,94,北京
颐和园,15047,被誉为“皇家园林博物馆”，参观园林，泛舟昆明湖。,43%,187,北京景点排名第4,94,北京
天安门广场,7511,伟大祖国的标志，早起看一场庄严肃穆的升旗仪式，瞻仰人民英雄纪念碑。,50%,137,北京景点排名第3,96,北京
什刹海风景区,3638,历史街区簇拥的优雅湖泊，环境优美，也是北京夜生活的核心地带。,29%,83,北京景点排名第12,94,北京
798艺术区,1260,厂房改造的艺术中心，雕塑、画廊、特色店铺等文艺范十足。,14%,59,北京景点排名第9,90,北京
石林峡,678,京郊罕见的石林峡谷，可以观看陡峭奇幻的地貌风光。,0%,6,北京景点排名第1,90,北京
八达岭长城,13662,“不到长城非好汉”，这里是长城的精华部分。,38%,131,北京景点排名第1,94,北京
天坛公园,5086,明清时期皇帝祭天之处，建筑精巧奇特，还可以参观祭天仪式表演。,36%,108,北京景点排名第6,94,北京
清华大学,1621,赏水木清华之美景，品百年名校之韵味。,27%,57,北京景点排名第10,94,北京
鼓楼,371,,4%,12,北京景点排名第87,94,北京
